step,potential_energy,temperature
147000,-3433.600000000013,1.0265005
148000,-3242.2000000000144,1.0260005
149000,-3265.400000000014,1.0255005000000001
150000,-3375.600000000015,1.0250005
151000,-3381.400000000013,1.0245005
152000,-3398.8000000000166,1.0240005
153000,-3456.800000000014,1.0235005
154000,-3480.0000000000155,1.0230005
155000,-3468.4000000000133,1.0225005
156000,-3462.6000000000117,1.0220005
157000,-3503.200000000012,1.0215005
158000,-3335.000000000011,1.0210005
159000,-3439.400000000012,1.0205005
160000,-3474.2000000000135,1.0200005
161000,-3480.0000000000123,1.0195005
162000,-3532.2000000000126,1.0190005
163000,-3410.4000000000124,1.0185005
164000,-3503.2000000000107,1.0180005
165000,-3462.6000000000095,1.0175005
166000,-3427.8000000000143,1.0170005
167000,-3369.8000000000134,1.0165005
168000,-3497.400000000012,1.0160005
169000,-3538.0000000000146,1.0155005
170000,-3474.2000000000135,1.0150005
171000,-3532.2000000000144,1.0145005
172000,-3613.400000000016,1.0140005
173000,-3590.2000000000176,1.0135005000000001
174000,-3555.4000000000174,1.0130005
175000,-3462.600000000013,1.0125005
176000,-3596.0000000000136,1.0120005
177000,-3520.600000000012,1.0115005
178000,-3509.000000000013,1.0110005
179000,-3538.0000000000164,1.0105005
180000,-3468.4000000000124,1.0100005
181000,-3433.600000000012,1.0095005
182000,-3567.000000000013,1.0090005
183000,-3578.600000000012,1.0085005
184000,-3613.4000000000146,1.0080005
185000,-3543.8000000000156,1.0075005
186000,-3601.800000000014,1.0070005
187000,-3590.2000000000126,1.0065005
188000,-3520.6000000000136,1.0060005
189000,-3659.8000000000125,1.0055005
190000,-3613.4000000000124,1.0050005
191000,-3543.8000000000147,1.0045005
192000,-3607.600000000013,1.0040005
193000,-3700.400000000013,1.0035005
194000,-3654.00000000001,1.0030005
195000,-3723.6000000000113,1.0025005
196000,-3567.0000000000105,1.0020005
197000,-3648.2000000000116,1.0015005
198000,-3723.600000000013,1.0010005
199000,-3717.8000000000093,1.0005005
200000,-3700.400000000013,1.0000005
